Date,Close,Open,High,Low,Volume,Market Cap
01-02-2021,2452240.05,2414400.48,2530963.9,2361031.83,4.48E+12,4.55E+13
02-02-2021,2589344.76,2451949.31,2617681.41,2448733.34,4.61E+12,4.83E+13
03-02-2021,2730151.06,2589383.57,2729425.35,2585643.96,4.46E+12,5.09E+13
04-02-2021,2695098.37,2730370.65,2814054.86,2649159.69,5.02E+12,5.01E+13
05-02-2021,2776459.25,2695498.42,2785829.26,2675466.76,4.28E+12,5.18E+13
06-02-2021,2858106.17,2776028.45,2973150.71,2776028.45,5.19E+12,5.32E+13
07-02-2021,2831977.81,2856954.64,2884006.05,2725641.88,4.77E+12,5.27E+13
08-02-2021,3369115.07,2830768.38,3369659.7,2773193.7,7.39E+12,6.26E+13
09-02-2021,3386420.22,3368278.4,3498895.38,3293362.08,6.70E+12,6.31E+13
10-02-2021,3270382.87,3385593.81,3435026.33,3195691.06,6.36E+12,6.10E+13
11-02-2021,3483475.49,3268965.1,3524534.63,3218205.6,5.93E+12,6.50E+13
12-02-2021,3448422.28,3481127.2,3546137.39,3373314.38,5.57E+12,6.43E+13
13-02-2021,3419438.97,3447431.51,3487831.43,3367664.49,5.10E+12,6.37E+13
14-02-2021,3536633.97,3420091.72,3592359.81,3420091.72,5.17E+12,6.59E+13
15-02-2021,3482678.59,3535127.37,3548124.56,3363142.06,5.59E+12,6.48E+13
16-02-2021,3588404.92,3482635.09,3655788.54,3427775.2,5.60E+12,6.66E+13
17-02-2021,3796126.93,3588945.01,3821847.52,3579115.91,5.89E+12,7.09E+13
18-02-2021,3752244.92,3795542.04,3819792.29,3713863.48,3.79E+12,7.01E+13
19-02-2021,4054759.55,3751967.9,4071219.24,3697975.01,4.61E+12,7.56E+13
20-02-2021,4071170.25,4054701.65,4172081.94,3963230.66,4.94E+12,7.58E+13
21-02-2021,4175234.28,4068924.03,4232133.83,4040189.11,3.77E+12,7.78E+13
22-02-2021,3927762.06,4174711.48,4174758.68,3551176.7,6.68E+12,7.33E+13
23-02-2021,3534027.1,3927588.93,3927588.93,3283611.27,7.69E+12,6.59E+13
24-02-2021,3598459.85,3534798.75,3712092.87,3417438.16,4.61E+12,6.71E+13
25-02-2021,3444981.28,3598731.27,3773175.5,3444981.28,3.95E+12,6.35E+13
26-02-2021,3410439.52,3451317,3578067.18,3252707.45,2.57E+13,6.32E+13
27-02-2021,3399303.74,3410808.4,3551266.97,3331637.33,3.38E+12,6.34E+13
28-02-2021,3326373.6,3399713.31,3438161.14,3182427.43,3.93E+12,6.19E+13
01-03-2021,3638530.83,3327975.16,3649730.88,3324702.42,3.97E+12,6.82E+13
02-03-2021,3545103.39,3637128.06,3674925.5,3460036.97,3.48E+12,6.61E+13
03-03-2021,3689294.4,3547801.99,3825755.42,3537433.59,3.90E+12,6.90E+13
04-03-2021,3551447.95,3688130.89,3775394.14,3487875.01,3.82E+12,6.61E+13
05-03-2021,3580544.18,3548951.6,3613869.85,3403796.07,3.56E+12,6.67E+13
06-03-2021,3579452.12,3578489.72,3596637.66,3458348.35,2.51E+12,6.67E+13
07-03-2021,3747472.11,3579913.05,3760474.8,3579913.05,3.16E+12,6.99E+13
08-03-2021,3831271.13,3745088.09,3837072.26,3619412.47,3.56E+12,7.13E+13
09-03-2021,3989882.74,3833210.54,3989882.74,3812786.5,3.73E+12,7.50E+13
10-03-2021,4072165.94,3989874.98,4164057.98,3889622,4.17E+12,7.60E+13
11-03-2021,4198920.78,4068867.31,4219685.53,3960319.33,4.13E+12,7.84E+13
12-03-2021,4167426.55,4200089.96,4212830.94,4026679.83,4.05E+12,7.77E+13
13-03-2021,4451713.9,4168246.58,4483753.81,4086442.25,4.41E+12,8.30E+13
14-03-2021,4310706.65,4450118.34,4477506.49,4310706.65,3.19E+12,8.04E+13
15-03-2021,4054141.37,4308170.64,4402540.2,4026556.89,4.83E+12,7.58E+13
